City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
103,Port Hardy,CA,2022-03-21 08:53:49,50.6996,-127.4199,44.6,87,100,20.71,overcast clouds,0,0
104,Conceicao Do Araguaia,BR,2022-03-21 08:53:50,-8.2578,-49.2647,71.69,96,99,1.52,overcast clouds,0,0
105,Arman,RU,2022-03-21 08:53:50,59.7,150.1667,28.02,88,100,10.87,overcast clouds,0,0
106,Obera,AR,2022-03-21 08:53:50,-27.4871,-55.1199,54.48,88,0,4.56,clear sky,0,0
107,Katsuura,JP,2022-03-21 08:53:51,35.1333,140.3,50.07,72,98,9.69,overcast clouds,0,0
108,Veshenskaya,RU,2022-03-21 08:53:51,49.6303,41.7334,33.82,100,77,11.45,broken clouds,0,0
109,Narsaq,GL,2022-03-21 08:53:52,60.9167,-46.05,0.9,64,0,7.0,clear sky,0,0
110,Puerto Leguizamo,CO,2022-03-21 08:53:52,-0.1934,-74.7819,71.69,99,100,1.36,overcast clouds,0,0
111,Zabol,AF,2022-03-21 08:53:52,32.25,67.25,65.61,14,0,4.68,clear sky,0,0
112,Chuy,UY,2022-03-21 08:53:53,-33.6971,-53.4616,64.49,48,100,11.1,overcast clouds,0,0
113,Jamestown,US,2022-03-21 08:50:07,42.097,-79.2353,37.71,61,0,9.22,clear sky,0,0
114,Ostrovnoy,RU,2022-03-21 08:53:53,68.0531,39.5131,36.25,83,79,19.73,broken clouds,0,0
115,Russell,US,2022-03-21 08:53:54,32.3502,-85.1999,48.96,100,0,0.0,clear sky,0,0
116,Mackay,AU,2022-03-21 08:53:54,-21.15,149.2,78.78,73,40,10.36,scattered clouds,0,0
117,Amahai,ID,2022-03-21 08:53:55,-3.3333,128.9167,78.17,91,100,8.5,moderate rain,0,0
118,Provideniya,RU,2022-03-21 08:53:55,64.3833,-173.3,4.01,91,33,2.46,scattered clouds,0,0
119,Alto Araguaia,BR,2022-03-21 08:53:55,-17.3147,-53.2153,67.23,94,99,5.68,overcast clouds,0,0
120,San Carlos De Bariloche,AR,2022-03-21 08:53:56,-41.1456,-71.3082,49.75,66,75,10.36,light rain,0,0
121,Tautira,PF,2022-03-21 08:53:56,-17.7333,-149.15,81.84,76,19,19.06,light rain,0,0
122,Upernavik,GL,2022-03-21 08:53:57,72.7868,-56.1549,-19.17,80,38,4.74,scattered clouds,0,0
123,Ternate,ID,2022-03-21 08:53:57,0.8,127.4,81.88,77,90,6.53,overcast clouds,0,0
124,Ixtapa,MX,2022-03-21 08:53:57,20.7,-105.2,65.23,83,63,3.31,broken clouds,0,0
125,Ust-Kut,RU,2022-03-21 08:53:58,56.7938,105.7672,29.3,80,100,12.08,overcast clouds,0,0
126,Bensonville,LR,2022-03-21 08:53:59,6.4461,-10.6125,78.35,76,84,3.22,broken clouds,0,0
127,Igurubi,TZ,2022-03-21 08:53:59,-4.0,33.7,81.88,52,7,6.55,clear sky,0,0
128,Taksimo,RU,2022-03-21 08:54:00,56.3444,114.8794,23.23,77,100,1.34,overcast clouds,0,0
129,Roald,NO,2022-03-21 08:54:00,62.5833,6.1333,47.34,75,0,5.75,clear sky,0,0
130,Port Elizabeth,ZA,2022-03-21 08:54:00,-33.918,25.5701,82.09,69,40,8.05,scattered clouds,0,0
131,Merrill,US,2022-03-21 08:54:01,45.1805,-89.6835,41.72,84,0,0.0,clear sky,0,0
132,Challakere,IN,2022-03-21 08:54:01,14.3167,76.65,94.01,27,58,6.11,broken clouds,0,0
133,Hackettstown,US,2022-03-21 08:54:02,40.854,-74.8291,44.38,62,14,1.01,few clouds,0,0
134,Kaitangata,NZ,2022-03-21 08:54:02,-46.2817,169.8464,58.91,88,67,12.39,broken clouds,0,0
135,Hualmay,PE,2022-03-21 08:54:02,-11.0964,-77.6139,68.54,88,96,8.05,overcast clouds,0,0
136,Severo-Kurilsk,RU,2022-03-21 08:53:58,50.6789,156.125,28.83,90,100,39.35,light snow,0,0
137,Filadelfia,US,2022-03-21 08:54:03,39.9523,-75.1638,46.98,55,4,5.01,clear sky,0,0
138,Faanui,PF,2022-03-21 08:54:03,-16.4833,-151.75,81.5,72,36,17.13,scattered clouds,0,0
139,Mae Hong Son,TH,2022-03-21 08:54:04,19.3003,97.9685,95.14,38,75,5.75,broken clouds,0,0
140,Wagar,SD,2022-03-21 08:54:04,16.1525,36.2032,90.66,25,0,3.96,clear sky,0,0
141,Bestobe,KZ,2022-03-21 08:54:05,52.4994,73.0975,17.28,77,100,25.21,overcast clouds,0,0
142,Torbay,CA,2022-03-21 08:54:05,47.6666,-52.7314,32.76,96,100,21.85,mist,0,0
143,Sungaipenuh,ID,2022-03-21 08:54:06,-2.0833,101.3833,78.48,51,79,6.35,broken clouds,0,0
144,Nabire,ID,2022-03-21 08:54:06,-3.3667,135.4833,79.68,82,89,1.12,light rain,0,0
145,Longyearbyen,SJ,2022-03-21 08:54:07,78.2186,15.6401,28.24,80,75,5.75,light snow,0,0
146,Porto Velho,BR,2022-03-21 08:54:07,-8.7619,-63.9039,73.45,94,75,1.14,broken clouds,0,0
147,Sembakung,ID,2022-03-21 08:54:08,3.8167,117.25,75.38,97,100,1.45,overcast clouds,0,0
148,Caconda,AO,2022-03-21 08:54:08,-13.7333,15.0667,63.55,91,100,3.36,light rain,0,0
149,Neuquen,AR,2022-03-21 08:54:08,-38.9516,-68.0591,58.89,67,0,4.61,clear sky,0,0
150,Lagoa Santa,BR,2022-03-21 08:54:09,-19.6272,-43.8897,70.77,78,40,11.5,scattered clouds,0,0
151,Hofn,IS,2022-03-21 08:54:09,64.2539,-15.2082,33.82,86,75,3.44,broken clouds,0,0
152,La Tuque,CA,2022-03-21 08:54:10,47.4334,-72.7824,34.05,75,89,6.91,overcast clouds,0,0
153,Wanaraja,ID,2022-03-21 08:54:10,-7.1749,107.9808,78.93,84,100,1.74,moderate rain,0,0
154,Ancud,CL,2022-03-21 08:54:11,-41.8697,-73.8203,56.23,95,78,6.31,light rain,0,0
155,Tagusao,PH,2022-03-21 08:54:11,9.1924,117.8141,77.07,90,100,2.8,moderate rain,0,0
156,Pacific Grove,US,2022-03-21 08:54:11,36.6177,-121.9166,50.67,84,67,3.0,broken clouds,0,0
157,Vestmanna,FO,2022-03-21 08:54:12,62.1564,-7.1664,43.72,87,100,13.8,overcast clouds,0,0
158,Cradock,ZA,2022-03-21 08:54:12,-32.1642,25.6192,75.36,48,2,1.39,clear sky,0,0
159,Komsomolskiy,UZ,2022-03-21 08:54:13,40.4272,71.7189,50.72,57,75,6.91,broken clouds,0,0
160,Cabo San Lucas,MX,2022-03-21 08:54:13,22.8909,-109.9124,68.61,63,98,17.58,overcast clouds,0,0
161,Mahebourg,MU,2022-03-21 08:54:13,-20.4081,57.7,86.25,100,75,0.0,thunderstorm with rain,0,0
162,Esperance,AU,2022-03-21 08:54:14,-33.8667,121.9,66.04,85,100,18.19,overcast clouds,0,0
163,Coquimbo,CL,2022-03-21 08:54:14,-29.9533,-71.3436,55.13,94,75,3.44,broken clouds,0,0
164,Ibipeba,BR,2022-03-21 08:54:15,-11.6408,-42.0111,63.27,95,0,5.68,clear sky,0,0
165,Poum,NC,2022-03-21 08:54:15,-20.2333,164.0167,80.65,75,33,19.44,scattered clouds,0,0
166,Anadyr,RU,2022-03-21 08:54:16,64.75,177.4833,21.7,63,0,2.24,clear sky,0,0
167,Miass,RU,2022-03-21 08:54:16,55.045,60.1083,28.99,71,75,12.12,light snow,0,0
168,Neiafu,TO,2022-03-21 08:54:16,-18.65,-173.9833,82.0,78,100,15.61,overcast clouds,0,0
169,Marzuq,YE,2022-03-21 08:54:17,14.4,46.4667,88.12,18,2,6.6,clear sky,0,0
170,Narrabri,AU,2022-03-21 08:54:17,-30.3167,149.7833,82.49,30,57,8.05,broken clouds,0,0
171,Yazykovo,RU,2022-03-21 08:54:18,55.2199,56.1353,28.69,81,99,17.09,overcast clouds,0,0
172,Dikson,RU,2022-03-21 08:54:18,73.5069,80.5464,-3.33,96,49,6.17,scattered clouds,0,0
173,Saint-Augustin,CA,2022-03-21 08:54:19,51.226,-58.6502,25.11,96,100,21.09,snow,0,0
174,Butaritari,KI,2022-03-21 08:54:19,3.0707,172.7902,81.54,78,67,17.38,broken clouds,0,0
175,Khash,IR,2022-03-21 08:54:20,28.2211,61.2158,77.14,6,0,1.48,clear sky,0,0
176,Ocala,US,2022-03-21 08:52:02,29.1872,-82.1401,50.99,56,0,6.42,clear sky,0,0
177,Chuguyevka,RU,2022-03-21 08:54:20,44.1653,133.8633,25.02,80,9,2.89,clear sky,0,0
178,Rocha,UY,2022-03-21 08:51:26,-34.4833,-54.3333,52.86,73,0,5.03,clear sky,0,0
179,Pekan,MY,2022-03-21 08:54:21,3.4836,103.3996,93.31,66,87,6.85,overcast clouds,0,0
180,Utica,US,2022-03-21 08:54:05,43.1009,-75.2327,38.62,90,92,1.01,overcast clouds,0,0
181,Bhag,PK,2022-03-21 08:54:22,29.0415,67.8239,98.56,5,0,0.94,clear sky,0,0
182,East London,ZA,2022-03-21 08:54:22,-33.0153,27.9116,79.74,65,0,9.22,clear sky,0,0
183,Touros,BR,2022-03-21 08:54:23,-5.1989,-35.4608,77.85,84,72,6.69,broken clouds,0,0
184,Avarua,CK,2022-03-21 08:54:23,-21.2078,-159.775,80.65,83,75,3.44,broken clouds,0,0
185,Fort Nelson,CA,2022-03-21 08:54:23,58.8053,-122.7002,11.79,92,20,6.91,few clouds,0,0
186,Moron,AR,2022-03-21 08:54:24,-34.6534,-58.6198,60.98,77,58,11.99,broken clouds,0,0
187,Rtishchevo,RU,2022-03-21 08:54:24,52.2604,43.7874,33.3,100,69,12.68,broken clouds,0,0
188,Kiama,AU,2022-03-21 08:54:25,-34.6833,150.8667,70.0,81,1,1.7,clear sky,0,0
189,Lavrentiya,RU,2022-03-21 08:54:25,65.5833,-171.0,-8.07,86,34,4.34,scattered clouds,0,0
190,Port Blair,IN,2022-03-21 08:54:25,11.6667,92.75,78.84,89,100,5.75,drizzle,0,0
191,Kruisfontein,ZA,2022-03-21 08:54:26,-34.0033,24.7314,79.88,45,0,5.75,clear sky,0,0
192,Lorengau,PG,2022-03-21 08:54:26,-2.0226,147.2712,82.67,74,99,0.76,overcast clouds,0,0
193,Ondangwa,NA,2022-03-21 08:54:27,-17.9167,15.95,80.6,100,75,5.75,broken clouds,0,0
194,Milos,GR,2022-03-21 08:54:27,36.75,24.4333,45.45,65,100,28.57,overcast clouds,0,0
195,Bereda,ES,2022-03-21 08:54:28,43.2686,-7.5406,49.14,96,62,3.69,broken clouds,0,0
196,Verkhnyaya Inta,RU,2022-03-21 08:54:28,65.9811,60.3094,18.52,83,95,10.04,overcast clouds,0,0
197,Ust-Kuyga,RU,2022-03-21 08:54:28,70.0167,135.6,-8.27,98,5,0.85,clear sky,0,0
198,Tenamaxtlan,MX,2022-03-21 08:54:29,20.2167,-104.1667,55.13,29,25,1.32,scattered clouds,0,0
199,Nikolskoye,RU,2022-03-21 08:54:29,59.7035,30.7861,46.29,82,11,7.38,few clouds,0,0
200,College,US,2022-03-21 08:54:30,64.8569,-147.8028,1.72,63,0,4.61,clear sky,0,0
201,Adelaide,AU,2022-03-21 08:54:27,-34.9333,138.6,78.28,43,0,8.05,clear sky,0,0
