City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Sao Joao Da Barra,BR,71.83,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
641,Macau,MO,78.6,mist,22.2006,113.5461,Grand Emperor Hotel
642,Tsaratanana,MG,79.7,broken clouds,-16.7833,47.65,
646,Chanthaburi,TH,81.14,moderate rain,12.8333,102.1667,Home Valley Station Garden River.
650,Were Ilu,ET,65.53,overcast clouds,10.6,39.4333,
653,Tiguha,PH,77.07,overcast clouds,7.7044,123.2114,San Jose Multipurpose Building
659,Beira,MZ,77.43,few clouds,-19.8436,34.8389,Beira Terrace Hotel
661,Camopi,GF,71.28,overcast clouds,3.1655,-52.3158,La pousada
664,Thabazimbi,ZA,74.21,broken clouds,-24.5917,27.4116,Eagle's Rest
667,Mwinilunga,ZM,76.35,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
668,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
670,Malanje,AO,73.44,light rain,-9.5402,16.341,Hotel Ginga
677,Novo Aripuana,BR,72.64,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
678,Stawell,AU,72.54,broken clouds,-37.05,142.7667,Motel Stawell
681,Champerico,GT,78.51,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
